matches_optimization/fitting,matches_dataset/provenance,matches_optimization/meta,matches_publication/updated,publication_doi,uuid,matches_evaluation/method,publication_authors,matches_optimization/regularization,matches_evaluation/availability,matches_publication/doi,matches_model/availability,shortid,matches_evaluation/confidence,publication_title,matches_optimization/features,publication_created,_id,matches_optimization/config,created,publication_journal,matches_dataset/availability,matches_model/duration,matches_optimization/parameters,matches_publication/journal,updated,publication_done,matches_publication/title,matches_model/output,matches_evaluation/comparison,matches_dataset/redundancy,matches_model/interpretability,publication_skip,matches_dataset/splits,publication_year,public,matches_evaluation/measure,matches_optimization/encoding,matches_publication/pmid,matches_publication/authors,publication_updated,matches_optimization/algorithm,matches_publication/year,publication_pmid,score
,public databases: 901 samples from The Cancer Genome Atlas cohort (TCGA-LUAD) and gene expression omnibus (GEO) database,,03/15/2022 15:36:27,10.1261/rna.074161.119,282ed2ca-7c65-4eb6-9c7d-8c69881d722c,10-fold cross validation,"Wu KE, Parker KR, Fazal FM, Chang HY, Zou J",,,,,039id1a4pi,,RNA-GPS predicts high-resolution RNA subcellular localization and highlights the role of splicing.,,,63516fedb9c880af1f305b23,,2022-09-01T15:16:05.443Z,RNA,"no, they claim: ""Publicly available datasets were analyzed in this study. This data can be found here: The datasets collected in the current study are available in the TCGA3 and GEO repository.""
",,"R package randomForestSRC: ""The training was running with “importance = TRUE,
block size = 1” and set with all other parameters set to
defaul""",,2022-09-01T15:16:05.443Z,0,RNA-GPS predicts high-resolution RNA subcellular localization and highlights the role of splicing.,,,,,0,10-fold cross validation,2020,True,"AUCs for 2-, 3-, and 5-year OS were 0.527, 0.596 and 0.671, respectively",,,"Wu KE, Parker KR, Fazal FM, Chang HY, Zou J",03/15/2022 15:36:27,"Spathial, Random forest, LASSO",,32220894,0.57
,Profiles of 150 metabolites based on gas chromatography mass spectrometry (GC/MS) analysis of plasma samples from 70 postmenopausal women.,,04/06/2022 16:25:21,10.1093/jnci/djz112,f0936cfb-e3a1-44a1-b760-3897fce5b861,5-fold cross-validation,"Jeon J, Olkhov-Mitsel E, Xie H, Yao CQ, Zhao F, Jahangiri S, Cuizon C, Scarcello S, Jeyapala R, Watson JD, Fraser M, Ray J, Commisso K, Loblaw A, Fleshner NE, Bristow RG, Downes M, Vesprini D, Liu S, Bapat B, Boutros PC",,Data is available from authors upon request.,,Data is available from authors upon request.,nhcfgr8oi1,,Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome.,"Metabolic profiles of 45 metabolites following data preprocessing. Recursive feature elimination with cross-validation (RFECV), using random forest, reduced the number of features to 15 metabolites.",,63516fedb9c880af1f305b24,Data is available from authors upon request.,2022-09-01T15:16:05.443Z,J Natl Cancer Inst,Data is available from authors upon request.,,,J Natl Cancer Inst,2022-09-01T15:16:05.443Z,0,Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome.,"The binary predictions of “CMD” and “non-CMD”, with the latter combining both CAD and control group samples.","1) One-way-ANOVA model and chi-squared analysis were fitted to test the statistical significance of clinical differences between different participant groups, followed by Tukey’s post hoc test. p < 0.05 was considered significant.
 2) Z-scores were calculated for each metabolite. An unpaired t-test was performed to identify metabolites that are different between each participant group.","During GC/MS analysis tentative substances were not reported All known artificial peaks were identified and removed before data mining. The metabolic feature columns, which had more than 40% of data missing, were eliminated.","Transparent. 15 selected metabolites following feature elimination, including stearic acid and ornithine, leading to best model performance. Unpaired t-test to identify metabolites with differences between CMD and non-CMD.",0,"Npos=23 patients with coronary microvascular disease (CMD). Nneg=47 participants, including 21 patients with coronary artery disease (CAD) and 26 healthy participants as control group.",2020,True,"Receiver operating curves (ROC), precision–recall (PR) curves, AUC score, F1 score","1)	To allow comparison between samples, all data were normalized to the internal standard in each chromatogram. The raw data consisting of 175 metabolites measured across 70 participants was normalized using min/max scaling. 
2)	Data imputation with IterativeImputer of sklearn was utilized to handle missing data. The trained imputer was tested by removing the data of one metabolite feature column and imputing the data afterward. The performance of the imputer was measured for each of the metabolites using R^2 metric. Metabolite columns with R^2 < 0.3 and more than 5% of missing values across all patients were removed.
3)	Data standardization to zero mean and unit variance for each metabolite feature column. 
Data pre-processing step reduced the feature columns to 75 metabolites. 
",,"Jeon J, Olkhov-Mitsel E, Xie H, Yao CQ, Zhao F, Jahangiri S, Cuizon C, Scarcello S, Jeyapala R, Watson JD, Fraser M, Ray J, Commisso K, Loblaw A, Fleshner NE, Bristow RG, Downes M, Vesprini D, Liu S, Bapat B, Boutros PC",04/06/2022 16:25:21,Recursive feature elimination with cross-validation (RFECV) from sklearn. Random forest was used as the estimator.,,31161221,0.71
,"yes, N_pos: 13128  N_neg: 32766",,04/18/2022 16:33:16,10.1016/j.ebiom.2020.103042,1ac93280-f1b7-4064-8b5e-5e1553dbd65f,5-fold cross validation,"Bitencourt AGV, Gibbs P, Rossi Saccarelli C, Daimiel I, Lo Gullo R, Fox MJ, Thakur S, Pinker K, Morris EA, Morrow M, Jochelson MS",,,,"yes, GitLab https://gitlab.com/mgarciat/genome-wide-prediction-of-topoisomerase-iibeta-binding",9regsp7l7u,,MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.,Fast Correlation Based Filter  and  Scatter Search  were used,,63516fedb9c880af1f305b25,,2022-09-01T15:16:05.443Z,EBioMedicine,"yes, described at S1 table: https://deposition.proteinensemble.org/job/25e45232-2c53-409f-b734-bbc1710609a2

all models and dataset at https://gitlab.com/mgarciat/genome-wide-prediction-of-topoisomerase-iibeta-binding",,,,2022-09-01T15:16:05.443Z,0,MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.,,,Correlation Feature Selection is used.,,0,5-fold cross-validation,2020,True,ROC curves and AUC values,sliding window on sequence,,"Bitencourt AGV, Gibbs P, Rossi Saccarelli C, Daimiel I, Lo Gullo R, Fox MJ, Thakur S, Pinker K, Morris EA, Morrow M, Jochelson MS",04/18/2022 16:33:16,"Naive Bayes, SVM, Random Forests",,33039708,0.52
Early stopping used to prevent overfitting (CNN),Parking and GFP-TFEB images generated in the same study,,04/18/2022 16:44:10,10.1186/s13059-020-02075-3,42bd8a6e-bec6-4f31-b0b6-e19be5f8c86f,Independent testing,"Ji Z, Zhou W, Hou W, Ji H",,,,Yes https://github.com/gkanfer/AI-PS,x35e8g9f2z,No confidence reported,Single-cell ATAC-seq signal extraction and enhancement with SCATE.,f=3 (pixel intensities) for CNN. f=3 for SVM (descriptors selected after PCA-based feature selection),,63516fedb9c880af1f305b26,Some hyperparameters specified in the main text,2022-09-01T15:16:05.443Z,Genome Biol,"Yes, https://github.com/ gkanfer/AI-PS/tree/master/facs",,,Genome Biol,2022-09-01T15:16:05.443Z,0,Single-cell ATAC-seq signal extraction and enhancement with SCATE.,Binary classification,,,Black box,0,"Training 80%, validation 15%, 5% Independent test data. N_pos and N_neg unknown for training data. For independent data: N_pos=5401, N_neg=4948.",2020,True,"Accuracy, AUPRC",150x150 pixel images (CNN). Image descrptors for SVM,,"Ji Z, Zhou W, Hou W, Ji H",04/18/2022 16:44:10,SVM and Convolutional Neural Network (ImageNet architecture),,32620137,0.67
"parameter smaller than samples, features larger but still smaller than samples pin the training set, but univariate analysis reduced then number of features.",Data is experimentally derived from 125 patients. Training data divided over 84 positive and 41 negative instances. An independent validation set ,"Features are coming from experimental data.  Four different predictors using different data are grouped in a stacked ensemble classifier, using Naive Bayes. ",05/20/2022 15:26:30,10.1186/s40364-020-00215-2,db022eae-23a7-444b-b7ad-0e845a5ec029,cross validation and independent set,"Lu XJ, Yang XJ, Sun JY, Zhang X, Yuan ZX, Li XH",Cross-validations procedures and feature selection are used to reduce chances for over-fitting.  Evaluation based on independent validation set.,,,,sfncop89n7,,FibroBox: a novel noninvasive tool for predicting significant liver fibrosis and cirrhosis in HBV infected patients.,"10 clinical features, eight cancer biomarkers 29-gene NGS panel for mutations, 30 methylation-correlated blocks (feature-selected from 697 MCBs). ",,63516fedb9c880af1f305b27,,2022-09-01T15:16:05.443Z,Biomark Res,"patient clinical information available in SI, as well as the protein biomarker data cfDnot reported mutation and cfDnot reported methylation features. Link to raw data also provided (or via author)",,linear kernel used in SVMs for each independent predictor.  Naive bayes sued to determine the optimal combination of these predictors.,Biomark Res,2022-09-01T15:16:05.443Z,0,FibroBox: a novel noninvasive tool for predicting significant liver fibrosis and cirrhosis in HBV infected patients.,classification in benign or malignant,no other methods are compared,,"partially interpretable but no apart from feature analysis on the baseline predictors, nothing else reported",0,"Data is split into 96 for training and 29 for validation. The training set consisted of 69 positive and 27 negative, whereas the validation set is divided into 14 negative and 15 positive cases.  ",2020,True,AUC. sensitivity and specificity,"data normalised, missing data inputed using median value, data standardised using z-scores. ",,"Lu XJ, Yang XJ, Sun JY, Zhang X, Yuan ZX, Li XH",05/20/2022 15:26:30,,,33005419,0.71
,Yes: dataset generated by own experiment,,05/20/2022 16:23:02,10.1038/s41416-019-0694-0,c9c5b90f-7cb6-4c2e-9fd0-85cb16728ff1,independent dataset,"Blyuss O, Zaikin A, Cherepanova V, Munblit D, Kiseleva EM, Prytomanova OM, Duffy SW, Crnogorac-Jurcevic T",,,,,6ed6jt5sbi,,"Development of PancRISK, a urine biomarker-based risk score for stratified screening of pancreatic cancer patients.",,,63516fedb9c880af1f305b28,,2022-09-01T15:16:05.443Z,Br J Cancer,,,,Br J Cancer,2022-09-01T15:16:05.443Z,0,"Development of PancRISK, a urine biomarker-based risk score for stratified screening of pancreatic cancer patients.",,,,~Yes: comparison between different features,0,"~Yes but not very clear: 12 pos and 12 neg images, duplicated (image divided into four quadrant)->48 images pos and 48 images neg. divided: 80% cross-validation training set and 20% testing set.",2020,True,Yes: accuracy = R-square and RMSE,"Yes: images features (fractal dimension, 2D wavelet coefficients, percolation score)",,"Blyuss O, Zaikin A, Cherepanova V, Munblit D, Kiseleva EM, Prytomanova OM, Duffy SW, Crnogorac-Jurcevic T",05/20/2022 16:23:02,Yes: SVM,,31857725,0.38
,Two monkeys!,,06/23/2022 03:30:18,10.1016/j.foodchem.2020.126864,4fd5e711-86f0-4064-a357-31d2f610128b,,"Bouysset C, Belloir C, Antonczak S, Briand L, Fiorucci S",,,,,l9ylxpirie,,Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.,,,63516fedb9c880af1f305b29,,2022-09-01T15:16:05.443Z,Food Chem,"Yes, Upon reasonable request from the corresponding author",,,Food Chem,2022-09-01T15:16:05.443Z,0,Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.,,neural dynamic mod- eling (NDM) e representational modeling (RM),,Black box,0,,2020,True,cross-validated CC between the true and predicted behavior,,,"Bouysset C, Belloir C, Antonczak S, Briand L, Fiorucci S",06/23/2022 03:30:18,Novel approach (Preferential Subspace IDentification),,32344344,0.43
MSA sampling and distance matrix cropping in training process is adopted to avoid potential overfitting as well,"PDB, CATH, CASP13. 
31,247 non-redundant domains + 104 domains from CASP13 (test).
The number of contacts (positive) and non contacts (negative) is not reported",,01/26/2022 11:41:26,10.1038/s41398-020-00957-5,0e4a9a17-a5bf-41d9-84a8-1eb49a8f35e5,Independent test set,"Takahashi Y, Ueki M, Tamiya G, Ogishima S, Kinoshita K, Hozawa A, Minegishi N, Nagami F, Fukumoto K, Otsuka K, Tanno K, Sakata K, Shimizu A, Sasaki M, Sobue K, Kure S, Yamamoto M, Tomita H",,,,,3qzygb13ir,No confidence intervals nor statistical significance reported,Machine learning for effectively avoiding overfitting is a crucial strategy for the genetic prediction of polygenic psychiatric phenotypes.,"Given the MSA, for each pair target-homologous sequences, each position is encoded with a 41-valued vector. Total encoding = Sequence length x Number of homologous sequences in MSA (Max 1000) x 41. No feature selection applied.",,63516fedb9c880af1f305b2f,The overall architecture is available in supporting information and released in github (https://github.com/fusong-ju/ProFOLD). Webserver is indicated but not functional (http://protein.ict.ac.cn/ProFOLD),2022-09-01T15:16:05.443Z,Transl Psychiatry,"Yes, but the server is not working: http://protein.ict.ac.cn/ProFOLD",,6.46 M to 16.46 M parameters. Performance evaluated on the validation set.,Transl Psychiatry,2022-09-01T15:16:05.443Z,0,Machine learning for effectively avoiding overfitting is a crucial strategy for the genetic prediction of polygenic psychiatric phenotypes.,classification (interresidue contacts) and regression (interresidue distance),"RaptorX, AlphaFold, trRosetta","Training/Validation: 35% sequence similarity cluster representatives of CATH (Mar 16, 2018). Test set released after 2018. Similarity with Training/Validation unclear",Black box,0,"Training: 29,247 domains; Validation: 1,820 domains; Test: 104 domains. Number of positive and negative not reported",2020,True,Precision of contact predictions at different thresholds,Multiple sequence alignment,,"Takahashi Y, Ueki M, Tamiya G, Ogishima S, Kinoshita K, Hozawa A, Minegishi N, Nagami F, Fukumoto K, Otsuka K, Tanno K, Sakata K, Shimizu A, Sasaki M, Sobue K, Kure S, Yamamoto M, Tomita H",01/26/2022 11:41:26,"Deep neural network, end-to-end learning",,32826857,0.81
"There are 7x744 datapoints for training, yet this seems still limited given the complexity of the DL network to extract features. Not considering the DL, and only the SVM, things look better as the feature set is reduced to 62 features in total, so f > p.","New cohort of 524 enrolled patients, 988 mammography images divided in 494 malignant and 494 benign masses.Data was preprocessed to be useful for DL work.  An additional validation set from another hospital is also used (58 patients). Not used before","Yes, for the DL feature extraction the VGG16 image-net trained network was used in combination with the Inception-V3 network into a fusion network.",03/08/2022 12:38:13,10.1155/2020/1384749,bd99b02c-4c88-4e85-b466-4a97ef729643,test set and independent validations set. Cross-validation when determining the optimal configuration of the SVM.,"Sang X, Xiao W, Zheng H, Yang Y, Liu T",SVM hyperparameters were tuned with grid-search and 10-fold cross-validation.  Tests were performed in an independent set and verified in an independent validation set.  Yet no stratification seems to be done.,,,,ij8nvrxx7j,"yes, Dejong's test",HMMPred: Accurate Prediction of DNA-Binding Proteins Based on HMM Profiles and XGBoost Feature Selection.,"Handcrafted (455), clinical (5) and DL-based features (1024-dimensional vector) are used in the final classifier. MRMR is used for feature selection, reducing the number of features to 30 Hcr and 27 DL features, next to the clinical ones.",,63516fedb9c880af1f305b30,,2022-09-01T15:16:05.443Z,Comput Math Methods Med,"No download information provided, but article contains statement that ""the data will  be made available without undue reservation""",,"The DL has its weights and layers next to the epoch, learning rate, momentum and weight decay parameters.  All parameters for the fusion network were transferred rom VGG16 and Inception V3 into a DL fusion network.  They added three additional FC layers.",Comput Math Methods Med,2022-09-01T15:16:05.443Z,0,HMMPred: Accurate Prediction of DNA-Binding Proteins Based on HMM Profiles and XGBoost Feature Selection.,Benign or malignant mass.,No comparison made with other approaches.,No stratification effort,"black box due to DL, but relatively transparent in the final classification step with SVM. The question is how interpretable the DL features are.",0,Data split 744 (training) and 244 (test) in a random manner. No details in Pos/Neg split but assumed to be equal.  ,2020,True,"Confusion matrix, calculating AUC, accuracy, sensitivity, precision, and F-score. Statistical significance with Delong's test (P<0.05 was considered significant).","Five preprocessing steps to prepare mammography images (identification of ROI, image and size normalisation, and data augmentation (flipping and rotations). Image size was  224x224x3 ",,"Sang X, Xiao W, Zheng H, Yang Y, Liu T",03/08/2022 12:38:13,"Transfer learning with DL to extract features trained with stochastic gradient descent, SVM (linear kernel) for final classification into benign and malignant.",,32300371,0.81
,"Alzheimer ’s Disease Neuroimaging Initiative (ADNI), online database.
Dataset size: 994. Split into 2 dataset: CTH, n= 650 and HCV, n= 299.",,03/23/2022 11:05:15,10.1371/journal.pone.0231172,31990540-50aa-4378-b78d-4ee10a62bdda,,"Kang AR, Lee J, Jung W, Lee M, Park SY, Woo J, Kim SH",,,,,7kuh4ta7dl,,Development of a prediction model for hypotension after induction of anesthesia using machine learning.,"Features based on cortical thickness (CTH) and hippocampal volumes (HCV) extracted
from brain scans were used to train the learning algorithms.",,63516fedb9c880af1f305b32,,2022-09-01T15:16:05.443Z,PLoS One,Alzheimer ’s Disease Neuroimaging Initiative (ADNI) (http://www.adni-info.org),,,PLoS One,2022-09-01T15:16:05.443Z,0,Development of a prediction model for hypotension after induction of anesthesia using machine learning.,,"Direct, Direct VOI, STAND-score, Atlas, COMPARE, CTH-SVM, CTH-J48, 
 CTH-NB, NTI, ROI, Feature Vector, HCV-SVM, HCV-J48, HCV-NB, Volume- SPM5,
 Volume-FreeSurfer, Shape. These are machine learning techniques used for mild cognitive
 impairment patients classification. Accuracy is compared in Table 1 of the paper.",,Black box,0,"CTH test set, n=167, training set n=483. HCV test set n=120, training set n=179.",2020,True,,,,"Kang AR, Lee J, Jung W, Lee M, Park SY, Woo J, Kim SH",03/23/2022 11:05:15,"support vector machine (SVM) for which a linear C-SVM algorithm was applied, ii) decision trees, for which a Java open source implementation of the C4.5 algorithm (the J48 algorithm) was used and iii) the Naive Bayes (NB) classifier.",,32298292,0.48
No information about parameters of the model and the model implementation.,"Pubmed for relevant molecules (48 mol based on 38 articles), GEO (GSE53625 179 data points), TCGA (TCGA-ESCC 82 data points, 37 used for validation) and own clinical samples (86 samples)","No data is used from other predictors, but the 5 predictors are used together as an ensemble to identify the most predictive features, i.e. the molecules useful for separating cases with good prognosis from bas ones",03/29/2022 09:10:15,10.3390/metabo10090357,e2d3109d-c453-483d-8eb9-5fe17cc3bf50,They claim to have used crossvalidation but it is not explained. They use independent sets to test their findings and to relate the survival of patients to these findings.,"Yilmaz A, Ugur Z, Bisgin H, Akyol S, Bahado-Singh R, Wilson G, Imam K, Maddens ME, Graham SF",not clear.  They claim to have uses cross-validation but it is not explained in detail.,,,,tgx5ifo7mb,,Targeted Metabolic Profiling of Urine Highlights a Potential Biomarker Panel for the Diagnosis of Alzheimer's Disease and Mild Cognitive Impairment: A Pilot Study.,"17 features corresponding to the most relevant molecules, which were obtained from literature and an additional network analysis based on String. They tested with each ML algorithm all 2^17-1 (131071) feature combinations to see which ones lead to the best predictions. Selection was done on training set (I assume)",,63516fedb9c880af1f305b33,,2022-09-01T15:16:05.443Z,Metabolites,"GEO and TCGA data is available. The 86 clinical cases are not reported, neither is the code provided for the ML part of the paper",,No details provided about the ML algorithm parameters,,2022-09-01T15:16:05.443Z,0,Targeted Metabolic Profiling of Urine Highlights a Potential Biomarker Panel for the Diagnosis of Alzheimer's Disease and Mild Cognitive Impairment: A Pilot Study.,Classification that is used to determine the most relevant set of features out of all 2^17-1 combinations.,"No comparison is made, as this is not the main point of this paper.",No mention made. Separation appears to be done randomly for the GEO set.  All the rest was used as validation.  No mention about the overlap between the sets.,"both, they used LR as well as ANN.",0,"179 split into 134 training and 45 testing ESCC cases (randomly), 17 out of 48 moulecues were used as features for the classification.  ESCC cases with survival times more than 3 years were labelled 1 and the others were labelled 0, no information about the number in each set.",2020,True,"Only AUC was reported for the classifier, which is not the most suitable measure.",mRnot reported data for 17 out 48 relevant molecules was used. The values expressed the difference in expression between the cancer and corresponding adjacent tissue.,,"Yilmaz A, Ugur Z, Bisgin H, Akyol S, Bahado-Singh R, Wilson G, Imam K, Maddens ME, Graham SF",03/29/2022 09:10:15,"5 algorithms used, LR, SVM, ANN, RF and XGBoost ",,32878308,0.76
,based on UniProt search; dataset published in 2019; 2533 pos and 9086 neg,,01/18/2022 17:50:21,10.1186/s12859-020-03725-w,e9544652-63df-4961-abc7-af965754adc8,5-fold CV; independent test set,"Klosa J, Simon N, Westermark PO, Liebscher V, Wittenburg D","yes, L2 regularisation",no raw evaluation files; confusion matrix is in the text,,,25pxfm641i,,"Seagull: lasso, group lasso and sparse-group lasso regularization for linear regression models via proximal gradient descent.","originally over 433; 39 after ""parameter optimisation""; further reduced to 21 by max-relevance-max-distance algorithm",,63516fedb9c880af1f305b4f,partially - only some hyper-parameters are given in the text,2022-09-01T15:16:05.444Z,BMC Bioinformatics,"yes, https://github.com/taozhy/identifying-vesicle-transport-proteins",not given but should be instant,39 or 21 (after dimension reduction using max-relevance-max-distance),BMC Bioinformatics,2022-09-01T15:16:05.444Z,0,"Seagull: lasso, group lasso and sparse-group lasso regularization for linear regression models via proximal gradient descent.",binary classification,,The original data was processed by BLAST to get the sequence similarity to less than 30%; the test set was used before.,Black box,0,Train: 2214 (pos) and 2214 (neg) -> 5-fold CV; test 319 (pos) 1513 (neg);,2020,True,"Recall, Precision, Accuracy, MCC",global features,,"Klosa J, Simon N, Westermark PO, Liebscher V, Wittenburg D",01/18/2022 17:50:21,SVM with RBF kernel,,32933477,0.76
,,,02/16/2022 09:43:09,10.3389/fgene.2020.566159,3785a62f-b82d-40db-9c45-88dbe0b8582f,,"Tian Y, Wang J, Qin C, Zhu G, Chen X, Chen Z, Qin Y, Wei M, Li Z, Zhang X, Lv Y, Cai G",,,,,hlpvh7cgmc,,Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.,"200,000 features for UTR sequence motif analysis / using a random subset of features to identify the best candidate feature for splitting at each node",,63516fedb9c880af1f305b50,Hyperparameters reported in the paper,2022-09-01T15:16:05.444Z,Front Genet,"Yes, https://www.ncbi.nlm.nih.gov/sra/SRP130967 (Sequences) https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109174 (transcripts half-life)",,,Front Genet,2022-09-01T15:16:05.444Z,0,Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.,,,,"Transparent, T rich UTRs provide stability",0,,2020,True,,Counts of all possible 3- to 8-letter-long sequence motifs present in the 5= and 3= UTRs,,"Tian Y, Wang J, Qin C, Zhu G, Chen X, Chen Z, Qin Y, Wei M, Li Z, Zhang X, Lv Y, Cai G",02/16/2022 09:43:09,Variant of random forest regression,,33329703,0.48
,Database HMDD3.0 (http://www.cuilab.cn/hmdde),,03/01/2022 14:21:27,10.3389/fnins.2020.577568,0f17c012-ed0e-4766-801b-39bb206b5767,Cross validation,"Liu W, Zhang X, Qiao Y, Cai Y, Yin H, Zheng M, Zhu Y, Wang H",,,,,caz69j3bqb,,Functional Connectivity Combined With a Machine Learning Algorithm Can Classify High-Risk First-Degree Relatives of Patients With Schizophrenia and Identify Correlates of Cognitive Impairments.,,,63516fedb9c880af1f305b51,,2022-09-01T15:16:05.444Z,Front Neurosci,,,"3, Random Forest",Front Neurosci,2022-09-01T15:16:05.444Z,0,Functional Connectivity Combined With a Machine Learning Algorithm Can Classify High-Risk First-Degree Relatives of Patients With Schizophrenia and Identify Correlates of Cognitive Impairments.,,"DeepWalk, Line, Node2Vec, GraRep, GF, Lap, lle (all Network Embedding methods)",,Black box,0,,2020,True,"ROC-AUC, PR_AUC, Precision, Accuracy, F1, Recall",,,"Liu W, Zhang X, Qiao Y, Cai Y, Yin H, Zheng M, Zhu Y, Wang H",03/01/2022 14:21:27,Random Forest + Network Embedding  + Network Similarity,,33324147,0.52
,CT images from a total of 739 patients with gastric cancer. ,,03/07/2022 10:25:36,10.1155/2020/8926750,827777a1-d886-4bc3-b9c3-91083dffda4f,Independent dataset,"Tao Z, Li Y, Teng Z, Zhao Y",,,,,43nakaafp9,,A Method for Identifying Vesicle Transport Proteins Based on LibSVM and MRMD.,"584, SVM-recursive feature elimination used for feature selection on training data only.",,63516fedb9c880af1f305b52,,2022-09-01T15:16:05.444Z,Comput Math Methods Med,,,,Comput Math Methods Med,2022-09-01T15:16:05.444Z,0,A Method for Identifying Vesicle Transport Proteins Based on LibSVM and MRMD.,Binary predictions,,,Black box,0,286 training - 453 validation No info on N_pos and N_neg immediately available ,2020,True,"sensitivity, specificity, AUC-ROC curve",,,"Tao Z, Li Y, Teng Z, Zhao Y",03/07/2022 10:25:36,,,33133228,0.38
,"Rnot reported-Seq expression values of immune regulatory molecules, including CTLA‑4, IDO1, LAG3, PDCD1, PDL1 and TIM3 across four types of breast cancer (HER2, luminal A, luminal B and TNBC) from The Cancer Genome Atlas (TCGA) database.
Data for tumor mutation burden (TMB) from TCGA database.
",,03/08/2022 15:42:05,10.1371/journal.pcbi.1007617,35561cc1-0576-4757-b30f-5bcd7b65ce52,,"Chen Q, Lee K, Yan S, Kim S, Wei CH, Lu Z",,,,,yuk8w6yxtm,OOB samples providing estimates of model error rate for the decision trees.,BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.,"Hundreds of variants, TMB data, were employed as input parameters, including the relative infiltration of the 28 types of heterogenous immune cells, somatic mutation counts, 78 immune‑related molecules, and 50 signaling pathways from the HALLMARK collection. In total 782 features were used to assess cytolytic activity (CYT).",,63516fedb9c880af1f305b53,,2022-09-01T15:16:05.444Z,PLoS Comput Biol,"The datasets generated and/or analyzed during the present
study are available in the TCGA database.",,,PLoS Comput Biol,2022-09-01T15:16:05.444Z,0,BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.,Multi-label predictions,Factors that were associated with immune response in this analysis were consistent with established knowledge on antitumor immunity.,,"Feature importance score, relative contribution of each factor to the resulting immune response, for determining the most important features for CYT.",0,,2020,True,Out of bag (OOB) scores,"Rnot reported-Seq expression values in transcripts per million (TPM) were log2-transformed and normalized. 
Estimation of relative immune cell relative infiltration and abundance  by using the method single‑sample gene set enrichment analysis (ssGSEA) which identified gene sets from the Molecular Signatures Database that were enriched in TNBC Rnot reported-Seq data. 28 heterogeneous immune cells were classified according to gene sets. The degree of immune cell infiltration was determined by the ssGSEA scores. The immune signature was clustered into 3 populations, namely high‑, medium‑ and low‑infiltration.",,"Chen Q, Lee K, Yan S, Kim S, Wei CH, Lu Z",03/08/2022 15:42:05,Random Forests,,32324731,0.48
